bayes,locus
0.20253164556962025,Rv0026
0.33766233766233766,Rv0029
0.26153846153846155,Rv0064-vapB1
0.24285714285714285,Rv0067c-Rv0068
0.25925925925925924,hddA
0.19047619047619047,Rv0147
0.25,Rv0149
0.1896551724137931,Rv0161
0.2807017543859649,mmpL11-Rv0203
0.2619047619047619,fadE3
0.25609756097560976,Rv0249c-Rv0250c
0.2054794520547945,pks6
0.26666666666666666,glnH
0.24615384615384617,senX3-regX3
0.19480519480519481,Rv0499
0.2857142857142857,gabP
0.23943661971830985,nrdZ
0.24705882352941178,Rv0584
0.21428571428571427,mce2D
0.27941176470588236,galTb
0.22727272727272727,Rv0634A
0.25,Rv0689c-Rv0690c
0.30666666666666664,Rv0698
0.18840579710144928,atsA
0.2676056338028169,Rv0750-mmsB
0.2564102564102564,mshD-phoT
0.2564102564102564,Rv0830
0.2903225806451613,far-Rv0856
0.2153846153846154,Rv0890c
0.23255813953488372,Rv0922-Rv0923c
0.25287356321839083,Rv0927c
0.3220338983050847,pstS2
0.2894736842105263,Rv0943c
0.27586206896551724,Rv1012
0.2345679012345679,Rv1139c-Rv1140
0.3424657534246575,Rv1179c-pks3
0.27419354838709675,ncrMT1234-esxK
0.323943661971831,Rv1322
0.3150684931506849,Rv1435c
0.2716049382716049,Rv1488
0.2608695652173913,Rv1498c
0.29411764705882354,Rv1503c
0.32894736842105265,Rv1506c-Rv1507c
0.2948717948717949,fadD11
0.32786885245901637,cya
0.3023255813953488,pks8
0.3088235294117647,Rv1672c
0.30303030303030304,Rv1729c
0.2236842105263158,Rv1841c
0.23943661971830985,Rv1868
0.30434782608695654,Rv1895
0.26666666666666666,mce3C
0.2876712328767123,Rv1977
0.4,Rv1996
0.2361111111111111,Rv2059
0.24358974358974358,Rv2081c
0.23943661971830985,Rv2082
0.3188405797101449,vapB37-Rv2105
0.35294117647058826,Rv2106-PE22
0.2153846153846154,Rv2113
0.2222222222222222,Rv2227
0.3090909090909091,Rv2248-glpD1
0.30303030303030304,cyp121
0.22972972972972974,stp
0.24358974358974358,mbtI-Rv2387
0.3026315789473684,Rv2390c-sirA
0.2676056338028169,Rv2478c
0.323943661971831,bkdB
0.2535211267605634,scoA
0.2823529411764706,Rv2562
0.22727272727272727,Rv2625c
0.18309859154929578,Rv2630-Rv2631
0.27586206896551724,Rv2660c
0.2753623188405797,Rv2706c
0.2753623188405797,Rv2797c
0.3026315789473684,Rv2809
0.171875,Rv2823c
0.20253164556962025,ugpA
0.2682926829268293,ppsA
0.2698412698412698,Rv3175
0.26865671641791045,Rv3337
0.29411764705882354,PPE55-Rv3348
0.25,dnaE2
0.3194444444444444,lytB1
0.35365853658536583,Rv3395c-Rv3395A
0.19767441860465115,alr-Rv3424c
0.125,Rv3468c
0.24096385542168675,cyp125
0.2878787878787879,mutY
0.3333333333333333,dppD
0.30158730158730157,serV-Rv3723
0.2608695652173913,cut5b
0.27710843373493976,ctpJ-nmtR
0.2988505747126437,Rv3769
0.27419354838709675,Rv3787c
0.25301204819277107,Rv3836
0.313953488372093,MTS2975-Rv3844
0.20270270270270271,espE
